
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1
T[K]                          300.000             2223.380
P[atm]                        1.00000             1.00000
rho[kg/m3]                    1.12253             0.15031
MW[kg/kmol]                   27.63362            27.42411
Phi[-]                        1.00001             1.00001
H[J/kg]                       -2.544939e+05       -2.544939e+05
U[J/kg]                       -3.447586e+05       -9.285800e+05
Conv.(%) O2                   0.000000e+00        9.741805e+01
Conv.(%) CH4                  0.000000e+00        9.999944e+01
Conv.(%) N2                   0.000000e+00        1.117753e-01
Total species (kmol/s)        5.439557e-03        5.481114e-03
Element(kmol/s) C             5.168830e-04        5.168830e-04
Element(kmol/s) H             2.067532e-03        2.067532e-03
Element(kmol/s) O             2.067521e-03        2.067521e-03
Element(kmol/s) N             7.777826e-03        7.777826e-03
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            0.000000e+00        2.703254e-04
H                             0.000000e+00        1.516461e-05
O                             0.000000e+00        1.345804e-04
O2                            2.200602e-01        5.681834e-03
OH                            0.000000e+00        1.839367e-03
H2O                           0.000000e+00        1.203687e-01
HO2                           0.000000e+00        6.373830e-07
H2O2                          0.000000e+00        5.908211e-08
C                             0.000000e+00        7.153070e-11
CH                            0.000000e+00        5.507345e-10
CH2                           0.000000e+00        1.063178e-08
CH2(S)                        0.000000e+00        7.648385e-10
CH3                           0.000000e+00        1.599263e-07
CH4                           5.516664e-02        3.092666e-07
CO                            0.000000e+00        9.349951e-03
CO2                           0.000000e+00        1.366402e-01
HCO                           0.000000e+00        3.985490e-09
CH2O                          0.000000e+00        9.542713e-08
CH2OH                         0.000000e+00        1.520867e-09
CH3O                          0.000000e+00        7.883588e-11
CH3OH                         0.000000e+00        2.182780e-09
C2H                           0.000000e+00        9.514057e-14
C2H2                          0.000000e+00        2.450860e-11
C2H3                          0.000000e+00        2.587298e-13
C2H4                          0.000000e+00        7.880422e-12
C2H5                          0.000000e+00        1.325621e-13
C2H6                          0.000000e+00        8.849069e-14
HCCO                          0.000000e+00        9.560510e-11
CH2CO                         0.000000e+00        2.100963e-10
HCCOH                         0.000000e+00        2.716154e-12
N                             0.000000e+00        7.341399e-09
NH                            0.000000e+00        1.762235e-09
NH2                           0.000000e+00        3.887279e-09
NH3                           0.000000e+00        1.139447e-08
