
-----------------------------------------------------------------------------
Status                        Inlet               Outlet
-----------------------------------------------------------------------------
Time[s]                       0                   1
T[K]                          1636.028            2224.579
P[atm]                        1.00000             1.00000
rho[kg/m3]                    0.20481             0.15025
MW[kg/kmol]                   27.49581            27.42742
Phi[-]                        1.00001             1.00001
H[J/kg]                       -2.544939e+05       -2.544939e+05
U[J/kg]                       -7.492128e+05       -9.288621e+05
Conv.(%) O2                   0.000000e+00        9.287042e+01
Conv.(%) CH4                  0.000000e+00        9.999942e+01
Conv.(%) N2                   0.000000e+00        4.156563e-02
Total species (kmol/s)        1.091075e-01        1.093796e-01
Element(kmol/s) C             1.031602e-02        1.031602e-02
Element(kmol/s) H             4.126409e-02        4.126409e-02
Element(kmol/s) O             4.126387e-02        4.126387e-02
Element(kmol/s) N             1.552309e-01        1.552309e-01
-----------------------------------------------------------------------------

-----------------------------------------------------------------------------
Mass fractions                Inlet               Outlet
-----------------------------------------------------------------------------
H2                            1.776010e-04        2.664016e-04
H                             9.730811e-06        1.459622e-05
O                             8.573086e-05        1.285962e-04
O2                            7.701392e-02        5.490771e-03
OH                            1.200363e-03        1.800545e-03
H2O                           8.028678e-02        1.204302e-01
HO2                           4.083013e-07        6.124516e-07
H2O2                          3.831943e-08        5.747912e-08
C                             1.526256e-11        2.289383e-11
CH                            1.213712e-10        1.820567e-10
CH2                           2.409223e-09        3.613834e-09
CH2(S)                        1.728038e-10        2.592056e-10
CH3                           3.672116e-08        5.508175e-08
CH4                           1.838895e-02        1.064311e-07
CO                            6.149276e-03        9.223916e-03
CO2                           9.122627e-02        1.368394e-01
HCO                           1.257372e-09        1.886058e-09
CH2O                          2.177427e-08        3.266140e-08
CH2OH                         3.424805e-10        5.137208e-10
CH3O                          1.770964e-11        2.656447e-11
CH3OH                         5.008688e-10        7.513035e-10
C2H                           8.328969e-15        1.249346e-14
C2H2                          2.186672e-12        3.280010e-12
C2H3                          2.016504e-14        3.024757e-14
C2H4                          6.295347e-13        9.443025e-13
C2H5                          1.050232e-14        1.575349e-14
C2H6                          7.010551e-15        1.051583e-14
HCCO                          2.106158e-11        3.159236e-11
CH2CO                         4.686924e-11        7.030387e-11
HCCOH                         2.489954e-13        3.734933e-13
N                             4.844887e-09        7.267344e-09
NH                            9.746956e-10        1.462048e-09
NH2                           1.227450e-09        1.841182e-09
NH3                           3.682443e-09        5.523686e-09
